name,source,gender,wikidata,type
"Cité Germinal, Résidence Sylvia",,,,way
"Cité Provis",,,,way
"Cité du Parc de Naninne",,,,way
"Clos Vert",,,,way
"Clos de la Cense",,,,way
"Clos de la Verveine",,,,way
"Clos des Angéliques des Prés",,,,way
"Clos des Aubépines",,,,way
"Clos des Baies Sauvages",,,,way
"Clos des Bolets",,,,way
"Clos des Cépages",,,,way
"Clos des Cerisiers",,,,way
"Clos des Chouettes",,,,way
"Clôs des Clématites",,,,way
"Clôs des Côteaux",,,,way
"Clos des Epilobes",,,,way
"Clos des Étourneaux",,,,way
"Clos des Francs",,,,way
"Clos des Grives",,,,way
"Clos des Hirondelles",,,,way
"Clos des Lauriers",,,,way
"Clos des Lys Sauvages",,,,way
"Clos des Mésanges",,,,way
"Clos des Moineaux",,,,way
"Clos des Rocailles",,,,way
"Clos des Roches",,,,way
"Clos des Sarts",,,,way
"Clos des Serins",,,,way
"Clos des Vendanges",,,,way
"Clos du Bois Rossia",,,,way
"Clos du Buley",,,,way
"Clos du Chaurnoi",,,,way
"Clos du Pré Madame",,,,way
"Coin du Mur",,,,way
"Comognes de Jambes",,,,way
"Comognes de Loyers",,,,way
"Comognes de Suarlée",,,,way
"Comognes de Temploux",,,,way
"Comognes de Wierde",,,,way
"Cortil Brûlé",,,,way
Cortil-Waha,,,,way
"Domaine de l'Espinette",,,,way
"Domaine de la Fraternité",,,,way
"Domaine du Bois de Néverlée",,,,way
"Drève Boninas",,,,way
"Drève Flovana",,,,way
"Drève Vulpilio",,,,way
"Drève de Jette-Foolz",,,,way
"Drève du Parc d'Erpent",,,,way
"È l'Sewe",,,,way
"Ecluse de Hastière",,,,way
"En Clivau",,,,way
"Escalier des Degrés",,,,way
Esplanade,,,,way
"Esplanade Saint-Pierre au Château",,,,way
"Esplanade du Bon Air",,,,way
"Ferme Moreau",,,,way
"Ferme du Château",,,,way
"Ferme du Tronquoy",,,,way
"Fond de Bouge",,,,way
"Fond de Champion",,,,way
"Fond de Malonne",,,,way
"Fond de Tienne",,,,way
"Fond des Bas Prés",,,,way
"Fond des Rosiats",,,,way
"Fond du Hairice",,,,way
"Fond du Village",,,,way
"Fonds de Dave",,,,way
"Fonds des Chênes",,,,way
"Forum de la Notre de dame de Paix",,,,way
"Fosse Al'Dièle",,,,way
"Fosse Al'Teroule",,,,way
"Fosse au Sauvlon",,,,way
"GR 126",,,,way
"Galerie Jardin d'Harscamp",,,,way
"Galerie Saint-Joseph",,,,way
Golgotha,,,,way
Grand-Rue,,,,way
"Haie des Pauvres",,,,way
"Haut de Bomel",,,,way
Haute-Fontaine,,,,way
Hautes-Calenges,,,,way
"Impasse Rose",,,,way
"Impasse d'Harscamp",,,,way
"Impasse de l'Amigo",,,,way
"Impasse des Comognîs",,,,way
"Impasse des Eaux",,,,way
"Impasse du Cordonnier",,,,way
"Impasse du Pont",,,,way
"Impasse du Tilleul",,,,way
"Jaune Voie",,,,way
L'Enjambée,,,,way
"La Charmille",,,,way
"La Fontaine-Champ-Hard",,,,way
"La Fontaine-Champ-Hard / GR 126",,,,way
"La Sente",,,,way
"La Voie qui Monte",,,,way
